year,SSP1-2.6,SSP5-8.5,,,,,total,total
1750,0.298,0.298,,,,,0.29756832829343,0.29756832829343
1751,0.286,0.286,,,,,0.286266210509893,0.286266210509893
1752,0.261,0.261,,,,,0.26143723156581,0.26143723156581
1753,0.224,0.224,,,,,0.22423577922106,0.22423577922106
1754,0.184,0.184,,,,,0.184177951263024,0.184177951263024
1755,0.14,0.14,,,,,0.139594933196907,0.139594933196907
1756,-0.114,-0.114,,,,,-0.114236470408888,-0.114236470408888
1757,0.042,0.042,,,,,0.042486723726142,0.042486723726142
1758,0.186,0.186,,,,,0.18615277991695,0.18615277991695
1759,0.268,0.268,,,,,0.268224658548362,0.268224658548362
1760,0.3,0.3,,,,,0.300466537080801,0.300466537080801
1761,0.303,0.303,,,,,0.303081321076319,0.303081321076319
1762,-0.719,-0.719,,,,,-0.718953663205658,-0.718953663205658
1763,-0.439,-0.439,,,,,-0.439127442426087,-0.439127442426087
1764,-0.017,-0.017,,,,,-0.016708125052888,-0.016708125052888
1765,0.106,0.106,,,,,0.106302416652438,0.106302416652438
1766,-0.219,-0.219,,,,,-0.219144941084392,-0.219144941084392
1767,-0.262,-0.262,,,,,-0.261866534123459,-0.261866534123459
1768,0.072,0.072,,,,,0.072076046881692,0.072076046881692
1769,0.26,0.26,,,,,0.260264888082283,0.260264888082283
1770,0.187,0.187,,,,,0.186941016601666,0.186941016601666
1771,0.249,0.249,,,,,0.248894134166424,0.248894134166424
1772,0.301,0.301,,,,,0.301363603348031,0.301363603348031
1773,0.291,0.291,,,,,0.29112144561803,0.29112144561803
1774,0.248,0.248,,,,,0.247996759600568,0.247996759600568
1775,0.224,0.224,,,,,0.223745172915525,0.223745172915525
1776,0.209,0.209,,,,,0.209034517481103,0.209034517481103
1777,0.211,0.211,,,,,0.210629852161059,0.210629852161059
1778,0.253,0.253,,,,,0.253285399358598,0.253285399358598
1779,0.332,0.332,,,,,0.331593446657186,0.331593446657186
1780,0.369,0.369,,,,,0.368696473522689,0.368696473522689
1781,0.375,0.375,,,,,0.375199189291663,0.375199189291663
1782,0.354,0.354,,,,,0.354045072667146,0.354045072667146
1783,-1.671,-1.671,,,,,-1.67091745641655,-1.67091745641655
